is_anomalous,category,raw_log,cpu_utilization,memory_utilization,process_count,unusual_process_executed,privilege_escalation_attempt,duration,src_bytes,dst_bytes,wrong_fragment,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,c2_beaconing_score,dns_tunneling_flag,impossible_travel,mfa_bypass,privilege_changes,login_hour,read_bytes_sec,write_bytes_sec,exfiltration_ratio
0,normal,Telemetry stream verified: Core metrics secure.,73.54,88.0,284,0,0,0.4414,528,1670,0,161,126,0.9244,0.0998,165,137,0.0474,0,0,0,0,14,3229.47,1390.93,0.3162
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,79.47,88.06,270,0,0,1.0201,1096,918,0,162,130,0.9287,0.0287,165,144,0.0227,0,0,0,1,16,2892.65,2672.67,1.1939
1,Compromised VM,Integrity Alert: Local privilege escalation shell spawned by unrecognized compiler runtime.,92.75,83.79,389,1,1,1.2077,463,7640,0,159,124,0.966,0.0277,193,146,0.0124,0,0,0,0,9,2091.18,2037.04,0.0606
0,normal,Telemetry stream verified: Core metrics secure.,71.57,84.02,282,0,0,2.1462,581,739,0,158,140,0.8422,0.149,186,146,0.0601,0,0,0,0,15,2025.12,2379.95,0.7862
0,normal,Telemetry stream verified: Core metrics secure.,86.74,83.54,279,0,0,0.5065,864,1722,0,160,136,0.8923,0.126,163,175,0.0181,0,0,0,0,8,2054.33,1927.15,0.5017
1,Insider misuse,Identity Alert: Multiple credential validation mismatches combined with large volume data reads.,87.02,85.85,266,0,0,1.081,1757112,2279,0,162,141,0.8936,0.1132,179,167,0.0879,0,1,1,1,16,354704.87,1399.94,771.0013
0,normal,Telemetry stream verified: Core metrics secure.,78.66,86.64,274,0,0,0.2603,856,316,0,158,115,0.9654,0.1153,197,166,0.1113,0,0,0,0,12,2195.67,1878.86,2.7089
0,normal,Telemetry stream verified: Core metrics secure.,80.34,87.13,275,0,0,1.7645,137,780,0,164,121,0.9672,0.1108,187,163,0.0866,0,0,0,0,17,1708.69,1189.16,0.1756
0,normal,Telemetry stream verified: Core metrics secure.,79.52,86.54,278,0,0,0.4906,194,2353,0,156,114,0.9448,0.0739,178,127,0.0568,0,0,0,0,15,3460.22,1839.41,0.0824
1,Insider misuse,Identity Alert: Multiple credential validation mismatches combined with large volume data reads.,83.57,81.15,277,0,0,1.2336,2825183,3183,0,159,125,0.875,0.1333,192,170,0.041,0,1,1,1,12,181614.04,1556.41,887.585
1,Compromised VM,Integrity Alert: Local privilege escalation shell spawned by unrecognized compiler runtime.,86.08,88.82,420,1,1,0.4871,2800,3297,0,157,125,0.9133,0.0331,161,149,0.0127,0,0,0,0,14,2912.33,1977.08,0.8493
0,normal,Telemetry stream verified: Core metrics secure.,80.61,85.14,266,0,0,1.9639,1051,7357,0,164,133,0.8243,0.1216,180,173,0.063,0,0,0,0,10,3308.29,1165.18,0.1429
0,normal,Telemetry stream verified: Core metrics secure.,77.16,90.2,284,0,0,2.3157,1766,322,0,160,135,0.9652,0.0608,173,162,0.0363,0,0,0,0,16,3249.69,1132.32,5.4845
0,normal,Telemetry stream verified: Core metrics secure.,74.89,87.54,274,0,0,2.1513,2518,3322,0,161,141,0.8843,0.129,204,155,0.0275,0,0,0,0,11,2939.6,2413.48,0.758
0,normal,Telemetry stream verified: Core metrics secure.,79.04,80.77,273,0,0,2.2334,1113,368,0,159,131,0.8239,0.128,183,131,0.0778,0,0,0,0,15,3317.24,1134.66,3.0245
0,normal,Telemetry stream verified: Core metrics secure.,78.76,88.1,279,0,0,1.6752,810,2044,0,162,117,0.8002,0.0212,193,171,0.0494,0,0,0,0,17,1905.29,1050.71,0.3963
0,normal,Telemetry stream verified: Core metrics secure.,74.73,80.89,267,0,0,1.3518,730,3925,0,162,120,0.8896,0.0119,171,164,0.0323,0,0,0,0,15,3341.31,2101.16,0.186
0,normal,Telemetry stream verified: Core metrics secure.,80.65,84.17,282,0,0,1.3067,1020,1302,0,158,128,0.852,0.0191,179,136,0.0262,0,0,0,0,15,2095.98,1924.59,0.7834
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,99.03,88.19,268,1,1,1.1636,45,541,0,164,145,0.8146,0.0317,184,154,0.1157,0,0,0,0,16,1933.46,1982.16,0.0832
0,normal,Telemetry stream verified: Core metrics secure.,85.95,82.03,270,0,0,2.2558,636,1683,0,158,139,0.9178,0.1036,166,169,0.0274,0,0,0,0,9,2314.61,1220.41,0.3779
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,74.48,88.3,271,0,0,0.3609,2436,1962,0,164,142,0.9106,0.1294,185,135,0.0591,0,0,0,1,8,2342.69,1358.37,1.2416
0,normal,Telemetry stream verified: Core metrics secure.,80.45,86.08,268,0,0,2.3481,2671,3087,0,163,130,0.8973,0.0491,208,167,0.0771,0,0,0,0,12,3272.59,2508.89,0.8652
0,normal,Telemetry stream verified: Core metrics secure.,78.1,84.14,282,0,0,0.8982,1110,5958,0,157,121,0.8709,0.0916,171,158,0.1158,0,0,0,0,17,1684.47,2180.29,0.1863
0,normal,Telemetry stream verified: Core metrics secure.,77.15,86.62,283,0,0,1.3222,179,810,0,163,127,0.805,0.1032,197,148,0.0055,0,0,0,0,13,3006.08,1675.28,0.221
0,normal,Telemetry stream verified: Core metrics secure.,77.56,85.76,281,0,0,2.3981,1070,6315,0,162,137,0.9823,0.1401,199,146,0.0144,0,0,0,0,10,3503.88,2033.33,0.1694
0,normal,Telemetry stream verified: Core metrics secure.,77.08,87.14,280,0,0,1.761,234,1140,0,158,121,0.8607,0.135,192,170,0.0904,0,0,0,0,10,3089.24,2297.81,0.2053
0,normal,Telemetry stream verified: Core metrics secure.,83.61,87.27,265,0,0,0.4665,2227,386,0,160,132,0.8598,0.1265,204,161,0.1087,0,0,0,0,8,2742.31,1617.61,5.7694
0,normal,Telemetry stream verified: Core metrics secure.,78.94,85.95,275,0,0,2.1714,1062,3621,0,157,133,0.9712,0.0399,166,132,0.1169,0,0,0,0,10,2415.17,1418.99,0.2933
1,Lateral movement,Security Alert: Sweep port scan detected originating from internal service socket.,95.0,83.35,271,0,0,0.5382,96,96,0,140,154,0.9784,0.8016,157,162,0.0596,0,0,0,0,16,3160.87,2153.33,1.0
0,normal,Telemetry stream verified: Core metrics secure.,81.92,86.56,266,0,0,1.8494,121,358,0,164,141,0.9551,0.1431,192,176,0.0546,0,0,0,0,9,2091.78,2351.55,0.338
0,normal,Telemetry stream verified: Core metrics secure.,84.64,87.55,281,0,0,2.0949,979,7549,0,158,125,0.8346,0.1266,173,129,0.0003,0,0,0,0,9,2474.86,2181.31,0.1297
0,normal,Telemetry stream verified: Core metrics secure.,75.41,84.41,265,0,0,2.1885,471,1425,0,163,137,0.9009,0.0606,184,151,0.1155,0,0,0,0,14,1874.25,2150.19,0.3305
0,normal,Telemetry stream verified: Core metrics secure.,83.14,82.62,276,0,0,1.6918,1348,424,0,161,140,0.8422,0.1324,165,172,0.0932,0,0,0,0,11,3110.56,2233.96,3.1792
1,Botnet node,Security Alert: High-rate outbound beacon detected matching known C2 channels.,100.0,81.34,267,0,0,1.177,52309,1500,0,163,129,0.8953,0.0348,187,153,0.9342,1,0,0,0,16,1983.93,2302.21,34.8727
1,Botnet node,Security Alert: High-rate outbound beacon detected matching known C2 channels.,100.0,79.46,267,0,0,1.6383,47335,1500,0,158,130,0.9173,0.1393,185,159,0.9101,1,0,0,0,11,2112.66,2209.33,31.5567
0,normal,Telemetry stream verified: Core metrics secure.,72.67,86.99,275,0,0,2.0257,1537,2094,0,161,115,0.9623,0.108,172,174,0.0993,0,0,0,0,11,1940.41,957.57,0.734
1,Lateral movement,Security Alert: Sweep port scan detected originating from internal service socket.,95.0,86.1,272,0,0,0.5366,2550,816,0,201,193,0.906,0.9171,175,137,0.066,0,0,0,0,9,3382.27,1049.98,3.125
0,normal,Telemetry stream verified: Core metrics secure.,82.11,83.56,280,0,0,0.8687,1075,2341,0,160,139,0.8834,0.0753,164,131,0.115,0,0,0,0,14,2142.63,2669.59,0.4592
0,normal,Telemetry stream verified: Core metrics secure.,78.75,85.44,269,0,0,0.886,1737,7889,0,158,134,0.9271,0.0279,183,170,0.0103,0,0,0,0,17,1812.79,919.57,0.2202
0,normal,Telemetry stream verified: Core metrics secure.,79.55,81.14,265,0,0,0.2586,753,5938,0,163,133,0.9679,0.0786,164,148,0.0198,0,0,0,0,16,2166.54,1077.93,0.1268
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,72.5,84.2,281,0,0,1.0932,1971,540,0,158,114,0.9207,0.0838,201,149,0.1111,0,0,0,1,12,2123.75,2024.48,3.65
0,normal,Telemetry stream verified: Core metrics secure.,78.54,91.45,278,0,0,2.4807,1968,6630,0,156,112,0.8994,0.1227,175,149,0.1079,0,0,0,0,9,3119.76,1746.15,0.2968
1,Lateral movement,Security Alert: Sweep port scan detected originating from internal service socket.,95.0,84.73,272,0,0,1.9814,1889,342,0,173,122,0.9159,0.9673,210,146,0.06,0,0,0,0,18,1958.35,954.81,5.5234
0,normal,Telemetry stream verified: Core metrics secure.,79.44,87.97,272,0,0,1.2968,626,5114,0,157,130,0.975,0.145,200,169,0.0612,0,0,0,0,17,2049.35,2347.34,0.1224
0,normal,Telemetry stream verified: Core metrics secure.,80.7,80.74,270,0,0,0.3083,1268,2561,0,162,121,0.8258,0.1,207,152,0.0067,0,0,0,0,15,2029.61,1468.83,0.4951
0,normal,Telemetry stream verified: Core metrics secure.,78.53,86.46,268,0,0,0.7619,80,94,0,160,117,0.9678,0.0053,190,135,0.0731,0,0,0,0,8,1987.98,1460.02,0.8511
0,normal,Telemetry stream verified: Core metrics secure.,75.25,84.12,284,0,0,0.5048,221,475,0,164,141,0.8524,0.0945,186,171,0.1052,0,0,0,0,15,2991.37,1862.24,0.4653
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,98.4,91.84,278,1,1,0.564,654,1248,0,165,129,0.9553,0.1035,200,132,0.0364,0,0,0,0,13,3529.54,1228.99,0.524
1,Botnet node,Security Alert: High-rate outbound beacon detected matching known C2 channels.,100.0,87.91,265,0,0,1.0971,101936,1500,0,160,136,0.9611,0.0826,184,138,0.8539,1,0,0,0,9,2550.83,1944.34,67.9573
0,normal,Telemetry stream verified: Core metrics secure.,84.08,88.33,268,0,0,0.1815,844,731,0,160,113,0.8844,0.0609,181,128,0.089,0,0,0,0,8,2065.76,1840.61,1.1546
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,73.09,81.97,275,0,0,0.617,1259,1648,0,161,135,0.9932,0.1383,187,173,0.0775,0,0,0,1,8,2732.78,2542.16,0.764
0,normal,Telemetry stream verified: Core metrics secure.,85.13,81.61,282,0,0,0.2693,2770,165,0,156,126,0.9132,0.1227,171,140,0.0361,0,0,0,0,13,3434.22,2757.44,16.7879
0,normal,Telemetry stream verified: Core metrics secure.,77.63,87.35,275,0,0,0.2822,597,1390,0,164,131,0.8334,0.0398,187,135,0.0172,0,0,0,0,11,3352.48,1218.75,0.4295
0,normal,Telemetry stream verified: Core metrics secure.,78.99,86.34,274,0,0,0.3105,1346,919,0,163,137,0.9602,0.085,176,157,0.0761,0,0,0,0,17,1739.97,1660.96,1.4646
0,normal,Telemetry stream verified: Core metrics secure.,76.95,86.49,266,0,0,1.3196,941,2550,0,158,130,0.9921,0.0046,195,143,0.0856,0,0,0,0,9,2599.51,1286.66,0.369
0,normal,Telemetry stream verified: Core metrics secure.,79.14,85.64,275,0,0,0.9882,514,606,0,163,142,0.9883,0.0422,205,177,0.0223,0,0,0,0,10,3333.36,2121.57,0.8482
0,normal,Telemetry stream verified: Core metrics secure.,83.35,80.94,268,0,0,0.6354,1197,2754,0,162,120,0.96,0.0605,191,173,0.0924,0,0,0,0,10,1907.76,2191.63,0.4346
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,79.11,82.71,284,0,0,1.2028,1379,900,0,165,123,0.8991,0.0353,185,174,0.0342,0,0,0,1,11,2502.31,2544.09,1.5322
0,normal,Telemetry stream verified: Core metrics secure.,75.13,79.81,278,0,0,1.1315,271,1125,0,159,134,0.9649,0.0607,192,149,0.0446,0,0,0,0,12,3321.09,2181.25,0.2409
0,normal,Telemetry stream verified: Core metrics secure.,78.06,87.51,282,0,0,1.8106,1363,2854,0,156,117,0.8945,0.0942,195,153,0.0812,0,0,0,0,12,2833.42,2733.56,0.4776
0,normal,Telemetry stream verified: Core metrics secure.,82.96,84.64,279,0,0,1.4912,149,2825,0,165,145,0.8736,0.1249,189,181,0.0976,0,0,0,0,9,2983.61,2505.15,0.0527
0,normal,Telemetry stream verified: Core metrics secure.,80.29,86.66,284,0,0,1.832,978,272,0,157,125,0.8427,0.011,192,129,0.1196,0,0,0,0,18,3406.67,2280.44,3.5956
0,normal,Telemetry stream verified: Core metrics secure.,80.64,89.12,283,0,0,0.2619,904,73,0,163,116,0.8771,0.031,193,172,0.0138,0,0,0,0,18,2579.83,1198.39,12.3836
0,normal,Telemetry stream verified: Core metrics secure.,77.83,78.46,278,0,0,1.1807,1186,935,0,161,137,0.9206,0.0063,173,171,0.0322,0,0,0,0,11,2760.8,1311.26,1.2684
0,normal,Telemetry stream verified: Core metrics secure.,82.25,86.73,272,0,0,1.7647,291,634,0,164,124,0.8996,0.1435,165,149,0.1134,0,0,0,0,17,2334.46,1560.15,0.459
1,Insider misuse,Identity Alert: Multiple credential validation mismatches combined with large volume data reads.,68.59,86.03,265,0,0,2.2876,2886707,762,0,164,128,0.8122,0.0522,202,177,0.0041,0,1,1,1,15,194120.04,2564.66,3788.3294
0,normal,Telemetry stream verified: Core metrics secure.,82.69,78.6,271,0,0,2.0929,662,560,0,156,136,0.8635,0.0931,202,140,0.1097,0,0,0,0,15,1814.25,1320.05,1.1821
0,normal,Telemetry stream verified: Core metrics secure.,82.86,88.38,267,0,0,0.2491,782,1216,0,158,125,0.8773,0.1257,184,132,0.0716,0,0,0,0,11,2246.96,2072.81,0.6431
0,normal,Telemetry stream verified: Core metrics secure.,77.59,92.39,276,0,0,2.0423,888,3962,0,162,117,0.9676,0.1494,166,166,0.0934,0,0,0,0,11,2000.04,2089.71,0.2241
1,Botnet node,Security Alert: High-rate outbound beacon detected matching known C2 channels.,100.0,91.23,272,0,0,1.3059,81646,1500,0,165,119,0.8873,0.0138,169,135,0.9053,1,0,0,0,12,2220.2,2595.03,54.4307
1,Lateral movement,Security Alert: Sweep port scan detected originating from internal service socket.,95.0,86.95,281,0,0,2.3291,831,1579,0,217,190,0.9588,0.9247,237,142,0.0197,0,0,0,0,9,2649.65,2760.94,0.5263
0,normal,Telemetry stream verified: Core metrics secure.,72.15,88.31,273,0,0,2.1278,79,4037,0,164,137,0.8758,0.0675,173,147,0.1095,0,0,0,0,10,2795.9,2380.5,0.0196
0,normal,Telemetry stream verified: Core metrics secure.,77.5,89.69,283,0,0,1.088,1847,5261,0,160,115,0.8208,0.0263,191,142,0.0757,0,0,0,0,18,2072.42,1297.53,0.3511
1,Botnet node,Security Alert: High-rate outbound beacon detected matching known C2 channels.,100.0,82.02,270,0,0,1.9475,56542,1500,0,156,132,0.8381,0.0568,188,161,0.9288,1,0,0,0,17,3369.32,2230.29,37.6947
0,normal,Telemetry stream verified: Core metrics secure.,77.2,89.17,279,0,0,2.4512,131,60,0,160,139,0.8918,0.004,193,157,0.0664,0,0,0,0,14,2609.52,2524.09,2.1833
0,normal,Telemetry stream verified: Core metrics secure.,77.79,84.38,284,0,0,1.5909,982,1329,0,164,117,0.909,0.0442,166,137,0.0093,0,0,0,0,11,3012.37,1193.12,0.7389
0,normal,Telemetry stream verified: Core metrics secure.,82.28,89.08,269,0,0,0.3458,89,1377,0,160,136,0.912,0.1394,204,172,0.0603,0,0,0,0,17,2170.05,964.41,0.0646
0,normal,Telemetry stream verified: Core metrics secure.,71.83,83.73,276,0,0,1.8716,666,1682,0,159,116,0.8823,0.1442,196,132,0.0323,0,0,0,0,10,1889.52,1025.34,0.396
0,normal,Telemetry stream verified: Core metrics secure.,76.81,85.99,284,0,0,1.5831,629,2239,0,162,124,0.8319,0.043,195,154,0.0997,0,0,0,0,11,2757.62,942.33,0.2809
0,normal,Telemetry stream verified: Core metrics secure.,80.18,83.27,279,0,0,1.3465,1393,1657,0,164,147,0.8722,0.0964,200,155,0.0407,0,0,0,0,17,3553.93,2575.56,0.8407
0,normal,Telemetry stream verified: Core metrics secure.,87.49,86.25,270,0,0,1.9741,517,350,0,161,137,0.8912,0.0212,192,149,0.118,0,0,0,0,10,2522.72,1224.24,1.4771
0,normal,Telemetry stream verified: Core metrics secure.,83.93,84.09,280,0,0,0.6279,387,2805,0,163,141,0.9797,0.1236,198,160,0.1163,0,0,0,0,18,2053.38,2294.75,0.138
0,normal,Telemetry stream verified: Core metrics secure.,75.17,91.71,281,0,0,0.1282,285,3238,0,162,119,0.8806,0.0637,173,154,0.0651,0,0,0,0,16,3120.81,1367.08,0.088
0,normal,Telemetry stream verified: Core metrics secure.,79.74,83.23,275,0,0,1.76,396,3665,0,164,120,0.8247,0.1488,187,172,0.0821,0,0,0,0,13,2245.87,1462.63,0.108
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,97.79,79.16,279,1,1,2.0603,2524,1289,0,163,145,0.9136,0.0227,203,135,0.0102,0,0,0,0,18,2182.26,1530.82,1.9581
0,normal,Telemetry stream verified: Core metrics secure.,82.53,87.3,274,0,0,1.3775,204,2589,0,159,133,0.8722,0.0115,203,136,0.0898,0,0,0,0,9,2578.88,2788.69,0.0788
0,normal,Telemetry stream verified: Core metrics secure.,77.05,83.57,282,0,0,2.2964,955,4005,0,163,137,0.8151,0.0301,170,137,0.0451,0,0,0,0,15,1810.18,2116.94,0.2385
0,normal,Telemetry stream verified: Core metrics secure.,82.56,92.24,269,0,0,0.8792,2245,2965,0,164,143,0.9204,0.0639,195,177,0.0198,0,0,0,0,11,3483.03,2031.11,0.7572
0,normal,Telemetry stream verified: Core metrics secure.,79.09,82.48,272,0,0,0.9062,1392,431,0,156,109,0.8421,0.0508,161,129,0.0721,0,0,0,0,12,1798.04,1932.77,3.2297
0,normal,Telemetry stream verified: Core metrics secure.,79.24,84.07,274,0,0,2.3194,301,923,0,162,132,0.8124,0.0799,172,171,0.0585,0,0,0,0,14,2532.21,2710.41,0.3261
0,normal,Telemetry stream verified: Core metrics secure.,86.63,78.65,271,0,0,0.6337,712,5624,0,158,134,0.9636,0.0774,177,168,0.0931,0,0,0,0,13,2880.02,2056.58,0.1266
0,normal,Telemetry stream verified: Core metrics secure.,80.3,81.27,274,0,0,2.0286,1349,2379,0,165,128,0.8239,0.0145,198,148,0.086,0,0,0,0,10,1966.76,2167.79,0.567
0,normal,Telemetry stream verified: Core metrics secure.,74.16,87.18,272,0,0,2.3869,1714,471,0,162,117,0.9864,0.0686,162,144,0.0423,0,0,0,0,16,2417.51,1329.46,3.6391
0,normal,Telemetry stream verified: Core metrics secure.,90.36,84.13,270,0,0,1.0887,1619,2753,0,164,135,0.8253,0.1238,182,163,0.1035,0,0,0,0,16,2383.21,2664.51,0.5881
0,normal,Telemetry stream verified: Core metrics secure.,76.2,84.98,265,0,0,1.2836,82,3122,0,162,129,0.8281,0.128,188,153,0.0304,0,0,0,0,12,3108.97,1180.11,0.0263
0,normal,Telemetry stream verified: Core metrics secure.,75.45,82.55,276,0,0,0.1411,633,926,0,161,117,0.8526,0.055,201,143,0.0485,0,0,0,0,12,2744.14,1184.59,0.6836
0,normal,Telemetry stream verified: Core metrics secure.,80.73,82.72,269,0,0,1.0404,1060,2612,0,161,135,0.9549,0.0719,183,174,0.082,0,0,0,0,18,1737.37,949.21,0.4058
0,normal,Telemetry stream verified: Core metrics secure.,74.77,86.12,266,0,0,0.399,81,7696,0,157,128,0.8429,0.1321,192,156,0.0319,0,0,0,0,9,2095.46,1636.19,0.0105
0,normal,Telemetry stream verified: Core metrics secure.,81.04,82.59,283,0,0,1.2549,379,756,0,163,114,0.8915,0.0696,195,169,0.0743,0,0,0,0,12,3411.44,1489.14,0.5013
0,normal,Telemetry stream verified: Core metrics secure.,79.56,87.81,271,0,0,2.2751,1298,3486,0,165,146,0.8746,0.106,199,135,0.0221,0,0,0,0,12,3372.44,2365.53,0.3723
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,73.65,89.53,276,0,0,0.1164,596,79,0,164,126,0.8396,0.1001,170,141,0.0334,0,0,0,1,12,2173.87,1652.59,7.5443
0,normal,Telemetry stream verified: Core metrics secure.,79.2,88.48,282,0,0,0.4288,151,5895,0,161,128,0.9257,0.1082,182,159,0.0989,0,0,0,0,8,3346.48,1766.05,0.0256
